lea,name,community__totalPop,community__medianHouseIncome,community__totalHouses,community__race__white,community__race__black,community__race__hispanic,community__race__asian,community__race__native,community__race__hawaiian,community__race__other,community__race__multi,community__yearHSB__after2k,community__yearHSB__b7099,community__yearHSB__before70,community__housingType__house,community__housingType__other,childrenInSchool__health__disability,childrenInSchool__health__insuranceCov,childrenInSchool__povAndBen__belowPov,childrenInSchool__povAndBen__foodStamp,childrenInSchool__hhByType__married,childrenInSchool__hhByType__female,childrenInSchool__hhByType__male,act__composite,act__reading,act__english,act__math,act__science,demographic__other__englishLearners,demographic__other__lowIncome,demographic__other__sped,disChar__enrollment,disChar__avgClassSize,disChar__avgTeachExpYrs,disChar__perPupSpend,schoolEnviroment__expulsions,schoolEnviroment__weaponInc,schoolEnviroment__staffAssaults,schoolEnviroment__studentAssaults,schoolEnviroment__refLeo,schoolEnviroment__schoolArrests,schoolPerformance__attendance,schoolPerformance__dropout,schoolPerformance__a,schoolPerformance__b,schoolPerformance__c,schoolPerformance__d,schoolPerformance__f,teacherQuality__certified,teacherQuality__bachelors,teacherQuality__masters,teacherQuality__advanced
1701000,Alma School District,15792,50204,5929,93,1,3,0,1,0,0,2,19.8,54.3,19,80.2,19.8,3.2,94.7,15.4,19.5,72,25,3,20.46,20.85,20.24,19.46,20.71,1,48,13,3244,19,14,8905,0,0,0,0,0,0,93.87,0.46,0,2,2,0,0,99,65,25,2
501000,Alpena School District,2754,40189,1016,94,0,4,0,1,0,0,1,26.9,44.8,28.4,73.1,26.9,4.5,100,21.3,15.8,71,13,13,17.53,17.31,17.56,17.19,17.81,1,67,13,526,12,8,8944,1,1,0,1,0,0,93.01,2.1,1,0,1,0,0,100,58,40,0
1002000,Arkadelphia School District,15759,36574,6038,67,25,5,1,0,0,0,2,36.3,55,30.9,63.6,36.3,16.7,97.5,32,26.7,55,35,10,19.73,20.29,18.78,19.29,20.09,1,57,14,1745,15,14,11337,0,3,7,62,0,0,95.63,1.52,0,0,5,0,0,98.6,47,51,1
4701000,Armorel School District,1405,63661,539,91,3,5,0,0,0,0,1,31.4,57,5.3,68.5,31.4,7.7,92.5,4.5,2.6,87,13,0,19.34,20,18.78,17.81,19.81,3,45,14,412,12,11,11738,0,0,0,1,0,0,95.41,0,1,1,0,0,0,88.9,53,47,0
4101000,Ashdown School District,9304,35608,3988,74,20,4,0,1,0,0,2,28.5,64.6,26.6,71.5,28.5,13.3,99.3,27.9,36.1,48,46,5,19.52,20.05,19.52,18.43,19.29,1,63,12,1395,14,11,9842,0,1,0,2,0,0,94.04,2.05,0,1,3,0,0,100,53,45,1
5801000,Atkins School District,6652,39357,2503,96,1,1,0,0,0,0,1,35.2,55,20.9,64.9,35.2,7.8,93,17.6,31.1,66,31,2,20.47,20.02,20.42,20.05,20.75,1,65,18,952,12,11,10003,0,0,0,0,0,0,94.28,1.38,0,2,1,0,0,100,67,33,0
7401000,Augusta School District,3527,27096,1563,52,46,1,0,0,0,0,1,23.3,49.3,38.5,76.7,23.3,4.9,100,47.1,60,36,64,2,15.33,16.29,13.9,15.24,15,,86,12,369,8,12,14613,0,0,0,6,0,0,93.88,1.4,0,0,0,2,0,65.1,61,29,0
7301000,Bald Knob School District,7660,33908,2971,93,1,2,0,0,0,0,3,38.5,50.6,27.3,61.6,38.5,5.2,94.8,25.3,27.4,74,20,7,19.23,19.96,18.81,18.4,19.1,1,59,14,1190,14,4,9510,1,2,0,1,0,0,93.14,1.72,0,0,1,2,0,97.1,50,50,0
5401000,Barton-Lexa School District,3123,34189,1220,57,37,5,0,0,0,0,1,35,54.3,26.6,64.9,35,6.6,100,21,37,41,44,13,17.2,17.31,16.18,17.36,17.42,,86,12,725,11,11,10019,0,2,1,2,0,0,91.82,4.25,0,1,1,0,0,97.6,61,38,2
3201000,Batesville School District,20403,39671,7784,84,3,10,1,0,0,0,1,21.9,52.8,28.4,78.1,21.9,4.6,94.7,21.5,18.4,65,23,12,19.32,20.17,18.65,18.33,19.53,15,53,13,3065,18,11,9974,1,2,2,1,1,1,94.17,0.57,1,1,3,0,0,92.6,57,41,1
