District LEA,NCES LEA ID,District Description,Agency Description,OP Status Description,Charter LEA Status,Phone Number,Mailing Address,USPS Address,Web Address
1701000,502250,Alma School District,Regular,Open,NOTCHR,479-632-4791,"916 Hwy 64 E
Alma
AR - 72921","P O Box 2359
Alma
AR - 72921",http://www.almasd.net
501000,502280,Alpena School District,Regular,Open,NOTCHR,870-437-2220,"300 S Denver
Alpena
AR - 72611","P O Box 270
Alpena
AR - 72611",http://www.alpenaschool.net
1002000,502430,Arkadelphia School District,Regular,Open,NOTCHR,870-246-5564,"235 N 11Th
Arkadelphia
AR - 71923","235 N 11Th
Arkadelphia
AR - 71923",http://apsd.k12.ar.us
4701000,502550,Armorel School District,Regular,Open,NOTCHR,870-763-6639,"4555 N Hwy 137
Armorel
AR - 72310","P O Box 99
Armorel
AR - 72310",http://armorel.crsc.k12.ar.us
4101000,502580,Ashdown School District,Regular,Open,NOTCHR,870-898-3208,"511 N Second
Ashdown
AR - 71822","511 N Second
Ashdown
AR - 71822",http://www.ashdownschools.org
5801000,502610,Atkins School District,Regular,Open,NOTCHR,479-641-7871,"307 N Church
Atkins
AR - 72823","307 N Church St
Atkins
AR - 72823",http://ahs.atkins.k12.ar.us
7401000,502670,Augusta School District,Regular,Open,NOTCHR,870-347-2241,"320 Sycamore
Augusta
AR - 72006","320 Sycamore
Augusta
AR - 72006",http://aps1.k12.ar.us
7301000,502700,Bald Knob School District,Regular,Open,NOTCHR,501-724-3273,"103 W Park St
Bald Knob
AR - 72010","103 W Park St
Bald Knob
AR - 72010",http://bkps.k12.ar.us/
5401000,502730,Barton-Lexa School District,Regular,Open,NOTCHR,870-572-7294,"9546 Hwy 85 S
Lexa
AR - 72355","Box 97
Barton
AR - 72312",http://blsd.grsc.k12.ar.us
3201000,500019,Batesville School District,Regular,Open,NOTCHR,870-793-6831,"955 Water St
Batesville
AR - 72501","955 Water St
Batesville
AR - 72501",http://www.batesvilleschools.com
6301000,502790,Bauxite School District,Regular,Open,NOTCHR,501-557-5453,"800 School St
Bauxite
AR - 72011","800 School St
Bauxite
AR - 72011",http://miners.k12.ar.us
1601000,502820,Bay School District,Regular,Open,NOTCHR,870-781-3711,"700 School St
Bay
AR - 72411","P O Box 39
Bay
AR - 72411",http://yellowjackets.k12.ar.us
5201000,500032,Bearden School District,Regular,Open,NOTCHR,870-687-2236,"100 Oak Ave
Bearden
AR - 71720","P O Box 195
Bearden
AR - 71720",http://bearden.k12.ar.us
7302000,502880,Beebe School District,Regular,Open,NOTCHR,501-882-5463,"1201 W Center St
Beebe
AR - 72012","1201 W Center St
Beebe
AR - 72012",http://badger.k12.ar.us
6302000,502960,Benton School District,Regular,Open,NOTCHR,501-778-4861,"500 River St
Benton
AR - 72015","P O Box 939
Benton
AR - 72018",http://bentonschools.org
401000,503060,Bentonville School District,Regular,Open,NOTCHR,479-254-5000,"500 Tiger Blvd
Bentonville
AR - 72712","500 Tiger Blvd
Bentonville
AR - 72712",http://www.bentonville.k12.ar.us
502000,503090,Bergman School District,Regular,Open,NOTCHR,870-741-5213,"8949 Hwy 7 N
Harrison
AR - 72601","P O Box 1
Bergman
AR - 72615",http://bergman.oursc.k12.ar.us
801000,503150,Berryville School District,Regular,Open,NOTCHR,870-423-7065,"902 W Trimble
Berryville
AR - 72616","902 W Trimble
Berryville
AR - 72616",http://bobcat.k12.ar.us/
