lea,nlea,name,zip,disChar__enrollment,disChar__avgClassSize,disChar__avgTeachExpYrs,disChar__perPupSpending,demographic__studentRace__native,demographic__studentRace__asian,demographic__studentRace__african,demographic__studentRace__hawaiian,demographic__studentRace__hispanic,demographic__studentRace__white,demographic__studentRace__multi,demographic__other__spedEligible,demographic__other__lowIncome,demographic__other__englishLearners,act__composite,act__reading,act__english,act__math,act__science,schoolEnvironment__expulsions,schoolEnvironment__weaponInc,schoolEnvironment__staffAssaults,schoolEnvironment__studentAssaults,schoolEnvironment__refLEO,schoolEnvironment__schoolArrests,schoolPerformance__attendance,schoolPerformance__dropout,teacherQuality__certified,teacherQuality__bachelors,teacherQuality__masters,teacherQuality__advanced,community__totalPop,community__medianHouseIncome,community__totalHouses,community__race__white,community__race__black,community__race__hispanic,community__race__asian,community__race__native,community__race__hawaiian,community__race__other,community__race__multi,community__yearHSB__after2k,community__yearHSB__b7099,community__yearHSB__before70,community__broadband,community__housingType__house,community__housingType__other,children__health__disability,children__health__insuranceCov,children__povAndBen__belowPov,children__povAndBen__foodStamp,children__hhByType__married,children__hhByType__female,children__hhByType__male,parents__medianIncome,parents__housingStatus__rented,parents__housingStatus__owned,parents__employment__employed,parents__employment__unemployed
1701000,502250,Alma School District,72921,3297,19,14,9229,2,0.5,1.5,0.1,4.1,86,5.9,14,52,1,20.27,20.87,19.82,19.36,20.46,,,1,3,0,0,94.32,0.32,98.1,72,25,2,"15,708","51,082","5,817",91,1,4,0,2,0,0,2,30.7,53.3,16,71.6,78,22,4.3,92.4,11.1,13.2,72,22,5,"65,882",17.5,82.5,80.2,19.8
501000,502280,Alpena School District,72611,494,13,9,9346,0,0.6,0.6,0,4.5,93.5,0.8,15,71,2,18.41,19.86,18.1,16.69,18.31,2,1,,3,,,92.93,0.43,95.5,52,33,0,"2,714","35,741","1,062",92,0,4,0,0,0,0,3,28.9,47.7,23.4,63.2,70.8,29.3,8.7,100,31.2,24.5,69,16,12,"-666,666,666",46.9,53.1,,
1002000,502430,Arkadelphia School District,71923,1761,17,13,9984,0,1.1,37.6,0.1,7,49.9,4.3,14,55,1,20.01,20.64,19.58,19.38,20.12,,3,13,118,0,0,96.15,1.61,91.4,48,51,1,"15,787","38,977","5,740",68,25,4,1,0,0,0,2,16.4,53.6,30.1,69.6,64.2,35.9,16.8,96.8,28.4,23,51,41,7,"48,750",48.1,51.9,82.5,17.5
4701000,502550,Armorel School District,72310,414,12,11,11912,0,2.4,7.7,0.2,6.5,83.1,0,14,44,3,19.77,21.93,19.4,17.73,19.63,,,,1,,,94.31,0.54,85.5,54,46,0,"1,412","82,386",537,89,5,4,0,0,0,0,1,37.5,59.8,2.8,84.4,69.1,31,15.6,93.6,4.7,2.7,87,10,3,"84,167",13.3,86.7,84.9,15.1
4101000,502580,Ashdown School District,71822,1406,14,10,9377,1.1,0.1,25.9,0,4.6,62.3,6.1,13,66,1,17.52,17.89,16.43,17.23,17.83,,2,,6,,,93.7,0.91,97.2,52,47,1,"8,966","45,893","3,955",74,22,1,1,1,0,0,2,12.3,58.7,29,64,67.7,32.3,11.3,99.7,20.5,28.8,57,37,6,"59,000",31.9,68.1,74.5,25.5
5801000,502610,Atkins School District,72823,946,12,11,9970,0,0.4,1.3,0.1,2.9,92.9,2.4,19,69,1,20.41,21.65,20.02,19.39,19.91,,,,1,,,94.33,0.91,99.1,67,33,0,"6,314","41,165","2,453",96,2,1,1,0,0,0,1,22.9,51.8,25.3,62.9,67.5,32.5,8.2,94.8,13.7,36.9,75,24,0,"57,955",28.7,70.5,77.3,22.7
7401000,502670,Augusta School District,72006,330,9,13,15104,0,0,53.6,0,0.9,41.2,4.2,16,87,,15.58,15.25,14.63,16.29,15.75,,,,,,,93.84,0,82,59,29,0,"3,397","27,478","1,605",52,46,0,0,0,0,0,2,13.9,50.4,35.7,47.7,72.8,27.3,,,,,,,,,,,,
7301000,502700,Bald Knob School District,72010,1172,14,4,9649,0.3,0.3,1.4,0,6.7,86.6,4.8,15,61,2,19.43,20.58,19.06,18.11,19.41,,3,,,,,93.13,1.87,97.2,45,55,0,"7,266","34,815","2,957",92,2,2,0,0,0,0,4,20.9,50.1,28.9,57.9,61,39.1,8.2,95.2,22.2,29.5,66,25,9,"52,250",31.5,68.5,70.5,29.5
5401000,502730,Barton-Lexa School District,72355,713,12,10,10048,0.3,1.5,31.8,0,2.5,62.7,1.1,12,86,1,17.02,17.49,16.15,16.64,17.51,,1,,,,,93.61,1.78,96.7,56,44,0,"2,776","39,395","1,073",64,30,5,0,0,0,0,1,21,50,29,58.2,62.8,37.1,5.2,100,13.4,23.1,50,39,8,"57,734",59.6,40.4,,
3201000,500019,Batesville School District,72501,3158,18,13,9649,0.6,1.5,7.1,0.1,24.2,65.9,0.8,13,58,16,19.15,19.97,18.47,18.37,19.15,,2,,7,,,95.92,0.49,88.4,58,42,0,"21,158","45,246","7,885",84,3,10,1,0,0,0,2,19.1,56.5,24.5,65.6,78.2,21.7,4.3,94.9,17.3,12.5,65,22,12,"54,769",25.8,74.2,86.3,13.7
6301000,502790,Bauxite School District,72011,1662,13,10,8161,0.4,0.4,2.4,0,4.5,91.2,1.2,11,41,1,19.03,20.18,18.68,17.48,19.18,,,,3,,,93.4,0.25,100,64,35,0,"6,496","64,917","2,228",90,6,3,0,0,0,0,1,41.6,45.5,12.9,77.3,73.1,26.8,9,98.7,9.6,17.9,78,12,12,"69,375",25,75.9,83.4,16
1601000,502820,Bay School District,72411,621,15,8,9131,0,0.3,4.7,0,1.4,91.9,1.6,20,65,0,20.79,22,21.79,17.93,20.96,1,,2,2,0,0,92.57,0.36,98.7,47,49,0,"3,134","38,322","1,201",95,2,1,0,0,0,0,2,16.3,54.3,29.4,72.8,79.2,20.9,11.4,99.2,11.2,20.5,60,18,23,"51,290",51.3,50,71,29
5201000,500032,Bearden School District,71720,488,13,8,11062,0,0.4,40,0,3.7,51.8,4.1,10,73,,17.72,17.93,17.07,17.45,17.93,2,,,7,,,94.61,3.77,90.1,67,33,0,"3,390","37,500","1,388",66,29,1,0,0,0,0,4,13.2,52.4,34.3,54,69.5,30.5,8.6,95.2,39.6,27.3,53,42,4,"48,359",43.6,56.4,,
7302000,502880,Beebe School District,72012,3246,19,12,9185,0.5,0.6,4,0,5.4,86.5,3.1,16,53,2,19.85,20.49,19.52,18.88,19.9,,7,3,8,0,0,94.41,1.33,97.2,56,43,1,"19,178","53,604","6,983",94,2,2,1,0,0,0,1,32.4,46.7,20.8,80.6,76.2,24,3.7,94.9,12,16.5,63,29,5,"67,289",28.6,71.4,81.7,18.3
6302000,502960,Benton School District,72015,5558,18,13,7600,0.3,1,9.3,0.1,8.5,77.3,3.5,10,40,4,20.85,21.53,20.48,20.36,20.49,,11,5,41,0,0,94.59,0.55,98.7,50,34,1,"31,948","56,525","12,009",85,6,6,1,1,0,0,2,24.7,46.7,28.4,78.6,80.6,19.3,8.8,96.2,9.9,17.4,66,25,9,"74,514",37.3,62.7,87,13
401000,503060,Bentonville School District,72712,17848,20,13,9962,1.2,6.9,3,0.6,11.5,72.2,4.6,11,22,5,22.57,23.59,22.46,21,22.54,4,13,3,16,0,0,93.88,0.41,97.3,40,54,2,"93,453","78,286","34,125",79,2,8,7,1,0,0,3,47.8,44.8,7.3,71.5,83,17,2.6,98.2,5.1,4.9,81,14,3,"107,900",25.7,74.3,84.5,15.4
502000,503090,Bergman School District,72601,1077,14,11,9149,1,0,0.4,0.1,3.1,95.3,0.2,11,58,0,19.13,19.34,18.62,18.62,19.31,,,,,,,94.71,0.42,98.2,60,40,0,"4,826","57,386","1,806",96,1,2,0,0,0,0,1,29.6,55.8,14.7,74.6,79.9,20.2,8,100,6.6,19,86,4,10,"71,023",19.8,81,92.4,8.1
801000,503150,Berryville School District,72616,1840,15,10,9955,0.3,1.5,0.3,3.5,27.6,65.7,1.2,17,71,17,19.59,20.36,18.53,18.78,20.08,,5,,2,,,92.52,1.92,97.6,52,45,1,"11,989","48,054","4,370",78,0,17,2,0,2,0,1,18.7,56.3,25,66.4,73.2,26.8,2.5,94.9,11,12.6,75,15,7,"60,857",19,81,86.4,13.6
3001000,503240,Bismarck School District,71929,997,14,11,8701,0.8,0.4,1.9,0,6.7,89.5,0.7,13,72,3,21.57,21.33,22.09,20.27,22,,6,,,,,94.37,0.42,100,48,52,0,"7,022","41,677","2,598",87,6,6,0,0,0,0,1,36.3,50.1,13.6,63.3,55.5,44.5,5.9,98.5,6.6,6,75,22,3,"55,380",17.3,82.7,86.8,13.2
2901000,503300,Blevins School District,71825,505,14,8,9671,0,0.6,15.2,0,13.3,67.3,3.6,14,81,6,16.33,16.19,15.22,15.94,17.64,,,,,,,93.59,1.83,94.4,64,36,0,"3,556","50,828","1,317",73,17,4,0,1,0,0,5,12.3,42.7,44.9,68.1,71.1,29,17.3,95.4,29.4,21.3,69,20,12,"56,047",21.3,78.7,85.9,13
4702000,503320,Blytheville School District,72315,1860,14,10,11617,0.1,0.4,81.8,0,3.8,13.1,0.9,13,80,2,15.39,15.67,13.91,15.34,15.96,,2,12,25,0,0,91.05,1.88,69.2,63,37,1,"15,593","36,119","6,371",39,55,3,1,0,0,0,2,4.6,45.5,49.8,69.9,78.3,21.8,3.1,98,32.6,36.9,41,50,7,"33,993",50,50.3,76.5,23.5
4201000,503450,Booneville School District,72927,1172,12,13,10090,1.3,0.5,0.3,0,5.4,87.7,4.8,13,72,1,19.04,19.4,18.68,18.12,19.26,,,,,,,95.67,0.6,99.2,68,32,0,"7,409","39,534","2,764",93,0,6,0,1,0,0,1,17.9,50.3,31.9,65.8,73.9,26,5.2,96.8,19.5,34.1,67,19,14,"53,857",39.8,60.2,81.5,18.5
7303000,503480,Bradford School District,72020,455,11,9,9693,0.4,0,2.4,0,1.8,95.2,0.2,20,78,0,19.29,20.29,19.65,18.06,18.71,,,,1,,,92.09,0,96.7,50,37,0,"2,848","38,850","1,189",92,0,3,0,0,0,0,5,19.3,55.1,25.5,66.4,61.6,38.2,6.5,100,9.8,20.9,81,18,1,"54,792",25.4,76.1,79.3,20.7
4801000,503630,Brinkley School District,72021,472,14,11,11203,0,0.4,67.6,0,1.3,29.4,1.3,19,78,,15.61,15.96,14.39,16.09,15.35,,1,,3,,,94.34,2.58,77.8,33,5,0,"3,967","31,154","1,792",54,40,4,1,0,0,0,2,11.6,47.7,40.8,55.4,73,27,3.9,94.9,42.2,40.6,32,61,7,"43,750",55.1,44.9,85.9,15.4
1603000,503640,Brookland School District,72417,2659,17,11,8405,0.2,0.5,2.4,0,4.6,91.1,1.3,15,35,2,20.48,21.76,20.23,18.74,20.6,1,5,7,32,0,0,93.44,1.26,99.6,51,48,1,"10,910","55,805","4,189",95,1,2,0,0,0,0,2,52.7,31.8,15.5,78.6,71.3,28.6,7,97,14.2,19.4,62,23,15,"62,319",24.3,75.7,91.2,8.8
6303000,503690,Bryant School District,72022,9299,18,13,9439,0.2,1.9,17.4,0.1,14.6,64,1.8,13,41,8,20.47,20.78,20.76,19.41,20.31,2,9,5,7,2,0,95.08,1.26,95.1,41,55,3,"52,881","64,634","19,219",82,10,4,2,0,0,0,2,47.4,44,8.6,83.9,71,29.2,9,96.7,8.1,10.8,65,26,9,"82,816",21.6,78.4,87.4,12.5
1605000,503710,Buffalo Is. Central Sch. Dist.,72447,726,12,6,10088,0,0,0.3,0.1,18.3,80.4,0.8,15,66,11,20.22,21.32,20.04,18.86,20.1,,,,,,,94.33,0,93.7,66,26,0,"5,149","37,472","2,044",88,0,11,0,0,0,0,0,10.5,42.1,47.6,63.2,78,21.8,7.7,98.4,23.4,20.9,60,35,6,"59,554",44.5,56.4,75.7,23.7
4304000,503750,Cabot School District,72023,10519,19,12,9003,0.4,1.4,2.6,0.3,6.5,84.6,4.2,14,40,2,20.84,21.34,20.19,20.17,20.97,1,18,12,88,0,0,93.45,0.9,89.5,47,40,0,"53,280","60,494","19,645",89,2,5,1,1,0,0,2,44.1,49.5,6.3,83.2,77.1,22.9,4,97,12.1,14.8,66,21,11,"81,125",32.2,67.8,83.1,16.9
4901000,503770,Caddo Hills School District,71960,556,11,8,9947,0.2,0.2,0,0,16.7,80.6,2.3,13,81,2,19.93,21.28,19.66,18.48,19.62,1,3,,8,,,95.56,0.73,94.4,63,37,0,"3,470","28,939","1,394",87,0,8,0,0,0,2,4,20.5,46.5,33.1,51.9,66.9,33.2,27.3,100,36.1,56.6,72,26,2,"44,609",17,84.9,63.6,37.5
3301000,503840,Calico Rock School District,72519,371,11,7,11500,0.5,0.3,0,0.3,2.2,96.2,0.5,14,71,1,19.16,18.97,19.39,18.39,19.55,,,,,,,93.74,0.58,97.4,62,27,0,"4,347","39,122","1,324",88,6,5,0,0,0,0,1,13.3,60.7,26.1,54.8,77.2,22.8,0,99.3,16.7,9.8,79,7,13,"72,411",19.7,80.3,79.5,20.5
5204000,506060,Camden Fairview School District,71701,2289,15,11,10428,0.2,0.7,62,0.1,2.8,29.5,4.7,12,78,2,17.12,17.09,16.49,16.63,17.68,3,6,5,53,0,0,93.44,1.36,86.4,63,32,1,"18,321","32,459","7,549",50,46,3,0,0,0,0,1,8.6,43.1,48.3,59.1,76,24,4.1,99.8,32.5,30.4,44,49,7,"36,257",42.9,56.9,85.4,14.4
4303000,503960,Carlisle School District,72024,646,12,8,10513,0.2,0,10.8,0,5.3,81.7,2,13,64,3,17.82,17.91,18.04,17,17.8,,2,9,1,0,0,93.57,0,92.7,46,54,0,"4,269","53,718","1,618",86,12,1,0,1,0,0,0,18.1,55.3,26.7,55,72.2,27.7,3.7,85.1,8.3,12.8,49,48,5,"57,188",27.9,72.1,85.5,14.5
6802000,504050,Cave City School District,72521,1177,15,12,10036,0.2,0.3,1.6,0.3,4.8,92,0.8,15,77,2,19.48,19.95,18.97,18.46,20.01,,2,,,,,95.27,0,98.1,44,54,0,"8,635","37,323","3,329",93,1,2,0,1,0,0,3,25.5,55.9,18.6,54.6,72.3,27.7,2.4,96,30.4,27.3,63,21,13,"41,958",50,50,77.7,22.3
3212000,500070,Cedar Ridge School District,72562,699,12,9,12937,0.3,0,0.9,0,4.7,93.3,0.9,16,72,1,17.39,17.9,17.61,16.02,17.37,,2,1,,0,0,94.84,0.87,84.3,55,45,0,"4,545","41,568","1,896",96,0,2,0,0,0,0,2,20,50,30.1,50.9,63.3,36.5,0.5,96.8,25.2,28.1,60,25,13,"43,075",26,74,82.4,17.6
