District LEA,NCES LEA ID,District Description,Mailing Address
1701000,0502250,Alma School District,"916 Hwy 64 E
Alma
AR - 72921"
0501000,0502280,Alpena School District,"300 S Denver
Alpena
AR - 72611"
1002000,0502430,Arkadelphia School District,"235 N 11Th
Arkadelphia
AR - 71923"
4701000,0502550,Armorel School District,"4555 N Hwy 137
Armorel
AR - 72310"
4101000,0502580,Ashdown School District,"511 N Second
Ashdown
AR - 71822"
5801000,0502610,Atkins School District,"307 N Church
Atkins
AR - 72823"
7401000,0502670,Augusta School District,"320 Sycamore
Augusta
AR - 72006"
7301000,0502700,Bald Knob School District,"103 W Park St
Bald Knob
AR - 72010"
5401000,0502730,Barton-Lexa School District,"9546 Hwy 85 S
Lexa
AR - 72355"
3201000,0500019,Batesville School District,"955 Water St
Batesville
AR - 72501"
6301000,0502790,Bauxite School District,"800 School St
Bauxite
AR - 72011"
1601000,0502820,Bay School District,"700 School St
Bay
AR - 72411"
5201000,0500032,Bearden School District,"100 Oak Ave
Bearden
AR - 71720"
7302000,0502880,Beebe School District,"1201 W Center St
Beebe
AR - 72012"
6302000,0502960,Benton School District,"500 River St
Benton
AR - 72015"
0401000,0503060,Bentonville School District,"500 Tiger Blvd
Bentonville
AR - 72712"
0502000,0503090,Bergman School District,"8949 Hwy 7 N
Harrison
AR - 72601"
0801000,0503150,Berryville School District,"902 W Trimble
Berryville
AR - 72616"
3001000,0503240,Bismarck School District,"11636 Hwy 84
Bismarck
AR - 71929"
2901000,0503300,Blevins School District,"5954 Hwy 29 N
Blevins
AR - 71825"
4702000,0503320,Blytheville School District,"405 W Park St
Blytheville
AR - 72315"
4201000,0503450,Booneville School District,"381 W Seventh St
Booneville
AR - 72927"
7303000,0503480,Bradford School District,"504 W Main
Bradford
AR - 72020"
4801000,0503630,Brinkley School District,"200 Tiger Dr
Brinkley
AR - 72021"
1603000,0503640,Brookland School District,"200 W School St
Brookland
AR - 72417"
6303000,0503690,Bryant School District,"200 Nw Fourth St
Bryant
AR - 72022"
1605000,0503710,Buffalo Is. Central Sch. Dist.,"801 W Drew
Monette
AR - 72447"
4304000,0503750,Cabot School District,"602 N Lincoln
Cabot
AR - 72023"
4901000,0503770,Caddo Hills School District,"2268 Hwy 8 E
Norman
AR - 71960"
3301000,0503840,Calico Rock School District,"301 College St
Calico Rock
AR - 72519"
5204000,0506060,Camden Fairview School Dist.,"625 Clifton St
Camden
AR - 71701"
4303000,0503960,Carlisle School District,"520 Center St
Carlisle
AR - 72024"
6802000,0504050,Cave City School District,"711 N Main St
Cave City
AR - 72521"
3212000,0500070,Cedar Ridge School District,"1502 N Hill St
Newark
AR - 72562"
1702000,0504080,Cedarville School District,"9500 Pirates Point
Cedarville
AR - 72932"
5502000,0506690,Centerpoint School District,"755 Hwy 8 E
Amity
AR - 71921"
2402000,0504200,Charleston School District,"125 W Main
Charleston
AR - 72933"
4802000,0504350,Clarendon School District,"316 N Sixth St
Clarendon
AR - 72029"
3601000,0504380,Clarksville School District,"1701 Clark Rd
Clarksville
AR - 72830"
1305000,0500067,Cleveland County School Dist.,"700 Main St
Rison
AR - 71665"
7102000,0504410,Clinton School District,"683 Poplar St
Clinton
AR - 72031"
1201000,0504560,Concord School District,"10920 N Heber Springs Rd
Concord
AR - 72523"
2301000,0504590,Conway School District,"2220 Prince St
Conway
AR - 72034"
1101000,0500009,Corning School District,"479 Bobcat Ln
Corning
AR - 72422"
5707000,0500405,Cossatot River School District,"130 School Dr
Wickes
AR - 71973"
0302000,0504680,Cotter School District,"Mable And Lithia St
Cotter
AR - 72626"
2403000,0504740,County Line School District,"12092 W State Hwy 22
Branch
AR - 72928"
1901000,0507740,Cross County School District,"21 County Rd 215
Cherry Valley
AR - 72324"
0201000,0504800,Crossett School District,"219 Main
Crossett
AR - 71635"
2601000,0504860,Cutter-Morning Star Sch. Dist.,"2801 Spring St
Hot Springs
AR - 71901"
7503000,0504890,Danville School District,"E 11Th And Boston
Danville
AR - 72833"
7504000,0504930,Dardanelle School District,"209 Cedar
Dardanelle
AR - 72834"
0402000,0504980,Decatur School District,"1498 Stadium Ave
Decatur
AR - 72722"
5106000,0500072,Deer/Mt. Judea School District,"Hwy 61 Parker Ridge Rd
Deer
AR - 72628"
6701000,0500049,Dequeen School District,"101 N Ninth St
De Queen
AR - 71832"
